code,group_path,name,has_link
PRCG20_2600550010,総平均>石油・石炭・天然ガス>石炭・原油・天然ガス>石炭・原油・天然ガス,原油,True
PRCG20_2600550011,総平均>石油・石炭・天然ガス>石炭・原油・天然ガス>石炭・原油・天然ガス,液化天然ガス,True
PRCG20_2600650001,総平均>化学製品>化学製品>化学肥料,化学肥料,True
PRCG20_2600650002,総平均>化学製品>化学製品>無機顔料,無機顔料,False
PRCG20_2600650003,総平均>化学製品>化学製品>その他の無機化学工業製品,炭酸リチウム,True
PRCG20_2600650004,総平均>化学製品>化学製品>石油化学系芳香族製品,ベンゼン,True
PRCG20_2600650005,総平均>化学製品>化学製品>環式中間物・合成染料・有機顔料,合成染料,True
PRCG20_2600650006,総平均>化学製品>化学製品>合成ゴム,合成ゴム,True
PRCG20_2600650007,総平均>化学製品>化学製品>メタン誘導品,メタノール,True
PRCG20_2600650008,総平均>化学製品>化学製品>その他の有機化学工業製品,有機ゴム薬品,True
PRCG20_2600650009,総平均>化学製品>化学製品>その他の有機化学工業製品,合成酸味料,True
PRCG20_2600650010,総平均>化学製品>化学製品>その他の有機化学工業製品,バイオＥＴＢＥ,True
PRCG20_2600650011,総平均>化学製品>化学製品>熱可塑性樹脂,熱可塑性樹脂,True
PRCG20_2600650012,総平均>化学製品>化学製品>高機能性樹脂,高機能性樹脂,False
PRCG20_2600650013,総平均>化学製品>化学製品>化学繊維,化学繊維,True
PRCG20_2600650014,総平均>化学製品>化学製品>医薬品,医薬品（除動物用）,True
PRCG20_2600650015,総平均>化学製品>化学製品>化粧品・歯磨,香水・オーデコロン,True
PRCG20_2600650016,総平均>化学製品>化学製品>化粧品・歯磨,仕上用・皮膚用化粧品,True
PRCG20_2600650017,総平均>化学製品>化学製品>化粧品・歯磨,頭髪用化粧品,True
PRCG20_2600650018,総平均>化学製品>化学製品>農薬,農薬,True
PRCG20_2600650019,総平均>化学製品>化学製品>その他の化学最終製品,香料,True
PRCG20_2600650020,総平均>化学製品>化学製品>その他の化学最終製品,石油添加剤,True
PRCG20_2600750001,総平均>はん用・生産用・業務用機器>はん用機器>原動機,はん用内燃機関,True
