code,group_path,name,has_link
PRCG20_1201150018,工業製品>金属製品>その他金属製品>配管工事附属品・粉末や金製品・道具類,粉末や金製品,True
PRCG20_1201150019,工業製品>金属製品>その他金属製品>その他の金属製品,錠・かぎ・建築用金物,True
PRCG20_1201150020,工業製品>金属製品>その他金属製品>その他の金属製品,架線金物,True
PRCG20_1201150021,工業製品>金属製品>その他金属製品>その他の金属製品,アルミニウム製飲料用缶,True
PRCG20_1201150022,工業製品>金属製品>その他金属製品>その他の金属製品,金網,True
PRCG20_1201150023,工業製品>金属製品>その他金属製品>その他の金属製品,ワイヤロープ・ＰＣ鋼より線,True
PRCG20_1201150024,工業製品>金属製品>その他金属製品>その他の金属製品,溶接棒,True
PRCG20_1201150025,工業製品>金属製品>その他金属製品>その他の金属製品,金属製パッキン・ガスケット,True
PRCG20_1201250001,工業製品>はん用機器>はん用機器>ボイラ,ボイラ,True
PRCG20_1201250002,工業製品>はん用機器>はん用機器>タービン,タービン,True
PRCG20_1201250003,工業製品>はん用機器>はん用機器>原動機,はん用内燃機関,True
PRCG20_1201250004,工業製品>はん用機器>はん用機器>ポンプ・圧縮機,うず巻ポンプ,True
PRCG20_1201250005,工業製品>はん用機器>はん用機器>ポンプ・圧縮機,水中ポンプ,True
PRCG20_1201250006,工業製品>はん用機器>はん用機器>ポンプ・圧縮機,圧縮機・送風機,True
PRCG20_1201250007,工業製品>はん用機器>はん用機器>ポンプ・圧縮機,油圧モータ,True
PRCG20_1201250008,工業製品>はん用機器>はん用機器>ポンプ・圧縮機,油圧シリンダ,True
PRCG20_1201250009,工業製品>はん用機器>はん用機器>ポンプ・圧縮機,油圧バルブ,True
PRCG20_1201250010,工業製品>はん用機器>はん用機器>ポンプ・圧縮機,空気圧機器,False
PRCG20_1201250011,工業製品>はん用機器>はん用機器>運搬機械,エレベータ,True
PRCG20_1201250012,工業製品>はん用機器>はん用機器>運搬機械,クレーン,True
PRCG20_1201250013,工業製品>はん用機器>はん用機器>運搬機械,巻上機,True
PRCG20_1201250014,工業製品>はん用機器>はん用機器>運搬機械,コンベヤ,True
PRCG20_1201250015,工業製品>はん用機器>はん用機器>冷凍機・温湿調整装置,冷凍機,True
PRCG20_1201250016,工業製品>はん用機器>はん用機器>冷凍機・温湿調整装置,冷凍・冷蔵用ショーケース,True
PRCG20_1201250017,工業製品>はん用機器>はん用機器>冷凍機・温湿調整装置,業務用エアコン,True
PRCG20_1201250018,工業製品>はん用機器>はん用機器>ベアリング,玉軸受,True
PRCG20_1201250019,工業製品>はん用機器>はん用機器>ベアリング,ころ軸受,True
PRCG20_1201250020,工業製品>はん用機器>はん用機器>その他のはん用機械,変速機,True
PRCG20_1201250021,工業製品>はん用機器>はん用機器>その他のはん用機械,歯車,True
PRCG20_1201250022,工業製品>はん用機器>はん用機器>その他のはん用機械,ローラチェーン,True
PRCG20_1201250023,工業製品>はん用機器>はん用機器>その他のはん用機械,消火器,True
PRCG20_1201250024,工業製品>はん用機器>はん用機器>その他のはん用機械,バルブ,True
PRCG20_1201250025,工業製品>はん用機器>はん用機器>その他のはん用機械,パイプ加工品,True
PRCG20_1201250026,工業製品>はん用機器>はん用機器>その他のはん用機械,ピストンリング,True
PRCG20_1201350001,工業製品>生産用機器>生産用機器>農業用機械,農業用トラクタ・耕うん機,True
PRCG20_1201350002,工業製品>生産用機器>生産用機器>農業用機械,田植機,True
PRCG20_1201350003,工業製品>生産用機器>生産用機器>農業用機械,コンバイン,True
PRCG20_1201350004,工業製品>生産用機器>生産用機器>建設・鉱山機械,掘さく機,True
PRCG20_1201350005,工業製品>生産用機器>生産用機器>建設・鉱山機械,建設用クレーン,True
PRCG20_1201350006,工業製品>生産用機器>生産用機器>建設・鉱山機械,コンクリート機械,True
PRCG20_1201350007,工業製品>生産用機器>生産用機器>建設・鉱山機械,建設用トラクタ,True
PRCG20_1201350008,工業製品>生産用機器>生産用機器>生活関連産業用機械,穀物処理機械,True
PRCG20_1201350009,工業製品>生産用機器>生産用機器>生活関連産業用機械,製パン・製菓機械,True
PRCG20_1201350010,工業製品>生産用機器>生産用機器>生活関連産業用機械,肉製品・水産製品製造機械,True
PRCG20_1201350011,工業製品>生産用機器>生産用機器>生活関連産業用機械,印刷関連機械,True
PRCG20_1201350012,工業製品>生産用機器>生産用機器>生活関連産業用機械,包装・荷造機械,True
PRCG20_1201350013,工業製品>生産用機器>生産用機器>化学機械,化学機械,True
PRCG20_1201350014,工業製品>生産用機器>生産用機器>鋳造装置・プラスチック加工機械,鋳造装置,True
PRCG20_1201350015,工業製品>生産用機器>生産用機器>鋳造装置・プラスチック加工機械,プラスチック加工機械,True
PRCG20_1201350016,工業製品>生産用機器>生産用機器>金属工作機械,旋盤,True
PRCG20_1201350017,工業製品>生産用機器>生産用機器>金属工作機械,研削盤,True
PRCG20_1201350018,工業製品>生産用機器>生産用機器>金属工作機械,マシニングセンタ,True
PRCG20_1201350019,工業製品>生産用機器>生産用機器>金属加工機械,プレス機械,True
PRCG20_1201350020,工業製品>生産用機器>生産用機器>金属加工機械,ワイヤフォーミングマシン,True
PRCG20_1201350021,工業製品>生産用機器>生産用機器>金属加工機械,金属圧延用ロール,True
PRCG20_1201350022,工業製品>生産用機器>生産用機器>機械工具,特殊鋼切削工具,True
PRCG20_1201350023,工業製品>生産用機器>生産用機器>機械工具,超硬工具,True
PRCG20_1201350024,工業製品>生産用機器>生産用機器>機械工具,ダイヤモンド工具,True
PRCG20_1201350025,工業製品>生産用機器>生産用機器>機械工具,空気動工具・電動工具,True
PRCG20_1201350026,工業製品>生産用機器>生産用機器>半導体製造装置,半導体製造装置（除フラットパネルディスプレイ製造装置）,True
PRCG20_1201350027,工業製品>生産用機器>生産用機器>金型,金型,True
PRCG20_1201350028,工業製品>生産用機器>生産用機器>真空装置・真空機器,真空ポンプ,True
PRCG20_1201350029,工業製品>生産用機器>生産用機器>ロボット,ロボット,True
PRCG20_1201450001,工業製品>業務用機器>業務用機器>サービス用・娯楽用機器,自動車整備・サービス機器,True
PRCG20_1201450002,工業製品>業務用機器>業務用機器>サービス用・娯楽用機器,娯楽機器,True
PRCG20_1201450003,工業製品>業務用機器>業務用機器>サービス用・娯楽用機器,自動販売機,True
PRCG20_1201450004,工業製品>業務用機器>業務用機器>計測機器,積算体積計,True
PRCG20_1201450005,工業製品>業務用機器>業務用機器>計測機器,はかり,True
PRCG20_1201450006,工業製品>業務用機器>業務用機器>計測機器,圧力計・流量計,True
PRCG20_1201450007,工業製品>業務用機器>業務用機器>計測機器,精密測定器,True
PRCG20_1201450008,工業製品>業務用機器>業務用機器>計測機器,分析機器,True
PRCG20_1201450009,工業製品>業務用機器>業務用機器>計測機器,試験機,True
PRCG20_1201450010,工業製品>業務用機器>業務用機器>計測機器,理化学機器,True
PRCG20_1201450011,工業製品>業務用機器>業務用機器>医療用機械器具,医療用機器,True
PRCG20_1201450012,工業製品>業務用機器>業務用機器>医療用機械器具,病院用器具,True
PRCG20_1201450013,工業製品>業務用機器>業務用機器>医療用機械器具,歯科用機器,True
PRCG20_1201450014,工業製品>業務用機器>業務用機器>医療用機械器具,医療用品,True
PRCG20_1201450015,工業製品>業務用機器>業務用機器>医療用機械器具,歯科材料,True
PRCG20_1201450016,工業製品>業務用機器>業務用機器>光学機械・レンズ,カメラ用交換レンズ,True
PRCG20_1201550001,工業製品>電子部品・デバイス>電子デバイス>半導体素子,光電変換素子,True
PRCG20_1201550002,工業製品>電子部品・デバイス>電子デバイス>半導体素子,ダイオード・整流素子,True
PRCG20_1201550003,工業製品>電子部品・デバイス>電子デバイス>半導体素子,トランジスタ,True
PRCG20_1201550004,工業製品>電子部品・デバイス>電子デバイス>半導体素子,サーミスタ,True
PRCG20_1201550005,工業製品>電子部品・デバイス>電子デバイス>集積回路,集積回路,True
PRCG20_1201550006,工業製品>電子部品・デバイス>電子デバイス>液晶パネル,液晶パネル,True
PRCG20_1201550007,工業製品>電子部品・デバイス>その他電子部品>電子回路,プリント配線板,True
PRCG20_1201550008,工業製品>電子部品・デバイス>その他電子部品>その他の電子部品,電子機器用抵抗器,True
PRCG20_1201550009,工業製品>電子部品・デバイス>その他電子部品>その他の電子部品,電子機器用コンデンサ,True
PRCG20_1201550010,工業製品>電子部品・デバイス>その他電子部品>その他の電子部品,電子機器用変成器,True
PRCG20_1201550011,工業製品>電子部品・デバイス>その他電子部品>その他の電子部品,変換部品,True
PRCG20_1201550012,工業製品>電子部品・デバイス>その他電子部品>その他の電子部品,接続部品,True
PRCG20_1201550013,工業製品>電子部品・デバイス>その他電子部品>その他の電子部品,電源・高周波ユニット,False
PRCG20_1201550014,工業製品>電子部品・デバイス>その他電子部品>その他の電子部品,コントロールユニット,True
PRCG20_1201550015,工業製品>電子部品・デバイス>その他電子部品>その他の電子部品,磁性材部品,True
PRCG20_1201550016,工業製品>電子部品・デバイス>その他電子部品>その他の電子部品,水晶振動子,True
PRCG20_1201550017,工業製品>電子部品・デバイス>その他電子部品>その他の電子部品,シリコンウエハ,True
PRCG20_1201550018,工業製品>電子部品・デバイス>その他電子部品>その他の電子部品,センサデバイス,False
PRCG20_1201650001,工業製品>電気機器>産業用電気機器>回転電気機械,電動機,True
PRCG20_1201650002,工業製品>電気機器>産業用電気機器>変圧器・変成器,変圧器・計器用変成器,True
PRCG20_1201650003,工業製品>電気機器>産業用電気機器>開閉制御装置・配電盤,継電器,True
PRCG20_1201650004,工業製品>電気機器>産業用電気機器>開閉制御装置・配電盤,遮断器,True
PRCG20_1201650005,工業製品>電気機器>産業用電気機器>開閉制御装置・配電盤,開閉器,True
PRCG20_1201650006,工業製品>電気機器>産業用電気機器>開閉制御装置・配電盤,プログラマブルコントローラ,True
PRCG20_1201650007,工業製品>電気機器>産業用電気機器>開閉制御装置・配電盤,配電盤,True
PRCG20_1201650008,工業製品>電気機器>産業用電気機器>開閉制御装置・配電盤,監視制御装置,True
PRCG20_1201650009,工業製品>電気機器>産業用電気機器>開閉制御装置・配電盤,分電盤,True
PRCG20_1201650010,工業製品>電気機器>産業用電気機器>配線器具,配線器具,True
PRCG20_1201650011,工業製品>電気機器>産業用電気機器>内燃機関電装品,充電発電機,True
PRCG20_1201650012,工業製品>電気機器>産業用電気機器>内燃機関電装品,始動電動機,True
PRCG20_1201650013,工業製品>電気機器>産業用電気機器>内燃機関電装品,イグニッションコイル,True
PRCG20_1201650014,工業製品>電気機器>産業用電気機器>内燃機関電装品,ワイヤーハーネス,True
